,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3(Target),index
55,GP,F,16.0,U,GT3,A,2.0,,other,other,other,mother,nan,,,no,no,no,yes,yes,yes,yes,yes,5.0,-inf,4.0,1.0,-,2.0,2.0,,13.0,12.0,55
56,GP,F,15.0,U,GT3,A,4.0,3.0,services,services,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,-inf,nan,-,0.0,,14.0,15.0,56
57,GP,M,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,2.0,2.0,1.0,1.0,5.0,8.0,15.0,15.0,16.0,57
58,GP,M,15.0,U,LE3,T,1.0,inf,other,at_home,home,father,1.0,,,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,14.0,13.0,14.0,58
59,GP,F,16.0,U,GT3,T,4.0,-,services,other,course,mother,1.0,2.0,nan,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,3.0,1.0,inf,5.0,2.0,16.0,15.0,16.0,59
60,GP,F,16.0,R,GT3,T,-inf,4.0,health,teacher,other,mother,1.0,,0.0,no,yes,no,yes,yes,yes,no,no,2.0,4.0,4.0,,3.0,-inf,nan,17.0,16.0,,60
61,GP,F,16.0,U,GT3,T,1.0,,services,services,course,father,4.0,1.0,0.0,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,0.0,10.0,-,inf,61
62,GP,F,16.0,U,LE3,T,1.0,inf,other,services,reputation,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,no,4.0,4.0,3.0,1.0,1.0,1.0,0.0,13.0,,inf,62
63,GP,F,16.0,U,GT3,T,4.0,3.0,teacher,health,home,mother,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,,-inf,4.0,2.0,4.0,4.0,nan,-inf,13.0,13.0,63
64,GP,F,15.0,U,LE3,T,4.0,3.0,services,services,reputation,father,,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,-,0.0,13.0,12.0,12.0,64
65,GP,F,16.0,U,LE3,T,4.0,3.0,teacher,services,course,mother,3.0,-,,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,1.0,,16.0,15.0,16.0,65
66,GP,M,15.0,U,GT3,A,4.0,-inf,other,services,reputation,mother,1.0,-,,no,yes,no,yes,no,yes,yes,yes,1.0,3.0,3.0,5.0,5.0,3.0,nan,11.0,12.0,12.0,66
67,GP,F,16.0,U,GT3,T,3.0,1.0,services,other,course,mother,1.0,4.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,,,1.0,,5.0,0.0,10.0,9.0,10.0,67
68,GP,F,-,R,LE3,T,2.0,2.0,health,services,reputation,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,,3.0,1.0,3.0,4.0,0.0,11.0,10.0,11.0,68
69,GP,F,15.0,R,LE3,T,3.0,-,other,other,reputation,father,2.0,4.0,-inf,no,yes,no,no,no,yes,yes,no,4.0,4.0,2.0,2.0,3.0,3.0,6.0,15.0,15.0,15.0,69
70,GP,M,,U,GT3,T,inf,1.0,other,other,reputation,father,2.0,4.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,,1.0,1.0,5.0,2.0,13.0,11.0,11.0,70
71,GP,M,15.0,U,GT3,T,4.0,2.0,other,other,course,mother,1.0,4.0,0.0,no,no,no,no,yes,yes,yes,no,inf,3.0,3.0,1.0,1.0,3.0,0.0,11.0,9.0,10.0,71
72,GP,F,,R,GT3,T,1.0,inf,other,other,reputation,mother,1.0,2.0,0.0,yes,yes,no,no,no,yes,yes,yes,3.0,3.0,4.0,2.0,4.0,5.0,2.0,13.0,-,11.0,72
73,GP,M,16.0,U,GT3,T,3.0,1.0,other,other,reputation,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,no,no,5.0,,2.0,2.0,2.0,5.0,0.0,,-inf,nan,73
74,GP,F,16.0,U,GT3,T,3.0,inf,other,services,home,mother,,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,,4.0,5.0,4.0,11.0,11.0,11.0,74
75,GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,,3.0,3.0,2.0,inf,-,0.0,11.0,11.0,11.0,75
76,GP,M,15.0,U,GT3,T,4.0,0.0,teacher,other,course,mother,2.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,4.0,,,inf,-,0.0,inf,11.0,11.0,76
77,GP,F,16.0,U,GT3,T,2.0,,other,other,reputation,mother,1.0,4.0,,no,no,no,no,yes,yes,yes,yes,,2.0,3.0,1.0,3.0,,,nan,13.0,,77
78,GP,M,17.0,U,GT3,T,2.0,1.0,other,other,home,mother,2.0,1.0,3.0,yes,yes,no,yes,yes,no,yes,no,4.0,5.0,1.0,1.0,1.0,3.0,0.0,9.0,9.0,nan,78
79,GP,F,16.0,U,GT3,T,-,4.0,at_home,other,course,mother,,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,4.0,3.0,1.0,2.0,,,12.0,11.0,,79
80,GP,M,15.0,U,GT3,T,2.0,3.0,other,services,course,father,1.0,1.0,0.0,yes,yes,no,yes,no,yes,yes,yes,3.0,,2.0,1.0,3.0,-inf,0.0,11.0,11.0,12.0,80
81,GP,M,-,U,GT3,T,2.0,3.0,other,other,home,mother,-inf,3.0,-,yes,no,no,no,no,yes,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,2.0,10.0,9.0,9.0,81
82,GP,F,,U,LE3,T,3.0,2.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,4.0,,11.0,11.0,82
83,GP,M,-,U,LE3,T,2.0,2.0,services,services,home,mother,2.0,2.0,,no,no,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,4.0,2.0,13.0,inf,13.0,83
84,GP,F,15.0,U,GT3,T,1.0,1.0,other,other,home,father,-,,0.0,no,yes,no,yes,no,yes,yes,no,4.0,3.0,nan,2.0,,4.0,2.0,13.0,12.0,,84
85,GP,F,inf,U,GT3,T,,inf,services,services,reputation,father,2.0,,0.0,no,no,no,no,yes,yes,yes,yes,4.0,4.0,,2.0,3.0,5.0,4.0,12.0,11.0,12.0,85
86,GP,F,16.0,U,LE3,T,nan,2.0,at_home,other,course,mother,inf,2.0,0.0,no,yes,no,no,yes,yes,no,no,inf,3.0,4.0,1.0,2.0,2.0,6.0,13.0,11.0,11.0,86
87,GP,F,15.0,U,GT3,T,4.0,inf,other,other,reputation,mother,1.0,,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,1.0,nan,15.0,-,15.0,87
88,GP,M,16.0,U,GT3,T,2.0,2.0,services,other,reputation,father,2.0,2.0,0.0,no,no,no,yes,no,yes,yes,no,4.0,4.0,-inf,,1.0,3.0,6.0,-,10.0,11.0,88
89,GP,M,16.0,U,LE3,A,-inf,4.0,teacher,health,reputation,mother,inf,2.0,0.0,no,yes,no,no,yes,yes,no,no,-inf,1.0,3.0,-,5.0,5.0,6.0,9.0,,10.0,89
90,GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,mother,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,-,,3.0,1.0,3.0,4.0,2.0,9.0,11.0,inf,90
91,GP,F,15.0,U,GT3,T,,3.0,services,other,reputation,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,-inf,5.0,5.0,1.0,3.0,1.0,6.0,14.0,13.0,13.0,91
92,GP,F,,U,LE3,T,3.0,1.0,other,other,home,father,1.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,3.0,3.0,3.0,2.0,3.0,2.0,0.0,-inf,13.0,12.0,92
93,GP,F,,U,GT3,T,inf,2.0,teacher,services,home,mother,,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,,3.0,-,-inf,1.0,-inf,2.0,nan,14.0,14.0,93
94,GP,M,-inf,U,LE3,T,2.0,2.0,services,health,reputation,mother,1.0,4.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,inf,1.0,1.0,-inf,2.0,,12.0,12.0,94
95,GP,F,nan,R,GT3,T,1.0,1.0,at_home,other,home,mother,2.0,4.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,3.0,,inf,,1.0,1.0,4.0,13.0,13.0,13.0,95
96,GP,M,16.0,R,GT3,T,4.0,3.0,services,other,reputation,mother,,1.0,0.0,yes,yes,yes,yes,no,yes,yes,no,3.0,,3.0,1.0,1.0,4.0,6.0,-inf,11.0,11.0,96
97,GP,F,16.0,U,GT3,T,2.0,1.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,yes,4.0,3.0,-,-inf,1.0,inf,0.0,13.0,12.0,-inf,97
98,GP,F,16.0,U,GT3,T,4.0,4.0,other,other,reputation,mother,1.0,1.0,0.0,no,no,no,yes,no,yes,yes,no,,3.0,4.0,,2.0,1.0,,12.0,13.0,13.0,98
99,GP,F,16.0,U,GT3,T,4.0,3.0,other,at_home,course,mother,,-,inf,yes,yes,no,no,yes,yes,yes,no,5.0,3.0,5.0,1.0,-inf,-,,inf,13.0,13.0,99
100,GP,M,16.0,U,GT3,T,4.0,4.0,services,services,other,mother,1.0,,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,,,,5.0,4.0,12.0,9.0,-,8.0,100
101,GP,M,16.0,U,GT3,T,-inf,4.0,services,teacher,other,father,1.0,3.0,,no,yes,no,yes,yes,yes,yes,yes,,4.0,3.0,1.0,1.0,4.0,0.0,16.0,16.0,16.0,101
102,GP,M,15.0,U,GT3,T,4.0,4.0,services,other,course,mother,1.0,1.0,0.0,no,yes,yes,yes,no,yes,yes,no,5.0,,3.0,1.0,1.0,,2.0,12.0,13.0,12.0,102
103,GP,F,15.0,U,GT3,T,3.0,2.0,services,other,home,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,3.0,5.0,1.0,1.0,,-,11.0,10.0,10.0,103
104,GP,M,15.0,U,GT3,A,nan,4.0,services,other,course,mother,-inf,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,-,4.0,4.0,inf,1.0,1.0,0.0,,16.0,16.0,104
105,GP,F,15.0,U,GT3,A,3.0,3.0,other,health,reputation,father,1.0,4.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,,1.0,nan,4.0,10.0,,,10.0,105
106,GP,F,15.0,U,GT3,T,2.0,,other,other,course,mother,1.0,4.0,0.0,yes,yes,no,no,yes,yes,yes,no,5.0,1.0,2.0,1.0,1.0,3.0,4.0,10.0,10.0,10.0,106
107,GP,M,16.0,U,GT3,T,3.0,3.0,services,other,home,father,1.0,3.0,,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,13.0,,14.0,107
108,GP,M,15.0,R,GT3,T,4.0,-,other,other,home,father,4.0,inf,-,no,yes,no,yes,yes,yes,yes,yes,1.0,3.0,5.0,inf,5.0,1.0,8.0,12.0,10.0,-,108
109,GP,F,16.0,U,LE3,T,4.0,4.0,health,health,other,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,nan,4.0,5.0,1.0,1.0,4.0,2.0,15.0,15.0,14.0,109
110,GP,M,15.0,U,LE3,A,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,5.0,5.0,3.0,1.0,1.0,4.0,,13.0,14.0,14.0,110
111,GP,F,,R,GT3,T,3.0,3.0,services,other,reputation,father,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,1.0,,1.0,1.0,2.0,4.0,11.0,11.0,11.0,111
112,GP,F,16.0,U,GT3,T,2.0,2.0,at_home,other,home,mother,,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,,,2.0,1.0,1.0,5.0,12.0,8.0,10.0,10.0,112
113,GP,M,15.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,inf,1.0,,no,no,no,no,yes,yes,yes,no,3.0,5.0,,1.0,1.0,3.0,,18.0,nan,18.0,113
114,GP,M,15.0,R,GT3,T,,1.0,health,services,reputation,mother,,2.0,0.0,no,no,no,yes,yes,yes,yes,yes,-inf,-,2.0,1.0,1.0,5.0,inf,10.0,,10.0,114
115,GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,-,4.0,4.0,1.0,2.0,5.0,6.0,16.0,-inf,14.0,115
116,GP,M,15.0,U,GT3,T,4.0,4.0,other,teacher,reputation,father,inf,2.0,0.0,no,yes,no,yes,yes,yes,no,no,4.0,,3.0,,1.0,2.0,4.0,16.0,15.0,16.0,116
117,GP,M,16.0,U,GT3,T,3.0,3.0,other,services,home,father,2.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,5.0,nan,2.0,1.0,1.0,5.0,nan,14.0,14.0,nan,117
118,GP,M,17.0,R,GT3,T,1.0,3.0,other,other,course,father,,2.0,1.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,4.0,-,nan,,,12.0,11.0,11.0,118
119,GP,M,inf,U,GT3,T,,4.0,other,other,reputation,father,-,1.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,4.0,3.0,1.0,2.0,,2.0,-,13.0,14.0,119
120,GP,F,15.0,U,GT3,T,1.0,2.0,at_home,services,course,mother,1.0,2.0,-inf,no,no,no,no,no,yes,yes,no,3.0,,3.0,1.0,2.0,,0.0,14.0,14.0,14.0,120
121,GP,M,15.0,U,GT3,T,2.0,2.0,services,services,home,father,,4.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,nan,1.0,2.0,5.0,6.0,14.0,13.0,inf,121
122,GP,F,16.0,U,LE3,T,2.0,-inf,other,health,course,father,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,2.0,2.0,1.0,2.0,5.0,2.0,14.0,12.0,13.0,122
123,GP,M,16.0,U,GT3,T,nan,4.0,health,other,course,mother,,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,3.0,4.0,4.0,1.0,4.0,5.0,4.0,nan,13.0,13.0,123
124,GP,F,16.0,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,2.0,-,no,no,no,no,yes,yes,yes,yes,nan,4.0,4.0,1.0,inf,5.0,,12.0,11.0,11.0,124
125,GP,M,,U,GT3,T,3.0,4.0,services,services,home,father,1.0,1.0,0.0,yes,no,no,no,yes,yes,yes,no,-inf,5.0,5.0,3.0,2.0,,2.0,9.0,,9.0,125
126,GP,F,15.0,U,LE3,A,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,5.0,3.0,2.0,1.0,1.0,1.0,,10.0,11.0,11.0,126
127,GP,F,19.0,U,GT3,T,0.0,1.0,at_home,other,course,other,1.0,2.0,2.0,no,yes,no,no,no,no,no,no,3.0,-inf,,,1.0,5.0,0.0,9.0,inf,-inf,127
128,GP,M,,R,GT3,T,4.0,,teacher,teacher,course,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,5.0,5.0,2.0,5.0,inf,8.0,14.0,,nan,128
129,GP,M,16.0,U,GT3,T,2.0,3.0,other,other,course,mother,2.0,-,0.0,no,yes,no,no,no,yes,yes,yes,,,3.0,2.0,2.0,1.0,4.0,,12.0,13.0,129
130,GP,F,15.0,R,GT3,T,3.0,4.0,services,teacher,course,father,2.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,2.0,2.0,2.0,2.0,-,0.0,10.0,-,12.0,130
