GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
3.87,2,1,610,3.0,315.0,1,2.0,3.0,2,3.0,2,1.5609756097560976,1,8,1,2.0,3,1.0,4.0,8,2.0,1,3,4,5,8,7,6.0,5,5,7.0,2.0,2.0,4,1.0,3,5,5.0,2.0,2.0,1.0,5,725.0,500,2,2,900,195.0
3.7,2,1,610,3.0,420.0,1,3.0,5.0,3,2.0,1,1.0,1,3,1,2.0,3,1.0,4.0,1,1.0,2,4,1,4,2,2,6.0,5,5,5.0,1.0,4.0,3,1.0,3,5,2.0,2.0,1.0,1.0,4,940.0,850,3,1,1315,185.0
3.7,2,2,610,3.0,420.0,2,1.0,4.0,1,1.0,1,1.0,1,7,2,2.0,5,3.0,4.0,4,1.0,1,3,3,2,4,1,4.0,4,5,5.0,1.0,2.0,2,1.0,2,3,2.0,3.0,1.0,1.0,4,940.0,690,4,1,1315,185.0
3.9,1,1,720,2.0,420.0,2,6.0,1.0,6,1.0,1,2.0,1,2,4,3.0,4,1.5892857142857142,3.0,4,1.0,1,4,3,5,5,2,4.0,3,5,2.0,2.0,2.0,2,1.0,1,3,3.0,4.0,2.0,2.0,4,940.0,500,4,2,1315,105.0
2.8,1,2,720,3.0,420.0,2,2.0,3.0,2,1.0,1,1.0,3,4,2,3.0,2,1.0,4.0,0,3.0,1,4,1,3,8,2,6.0,3,3,5.0,1.0,3.0,4,1.0,1,3,3.0,3.0,1.0,1.0,3,1165.0,690,3,2,760,125.0
3.7,2,1,610,2.0,420.0,1,2.0,3.0,2,1.0,1,1.0,1,3,2,2.0,2,1.0,4.0,1,1.0,1,3,2,1,9,5,5.0,1,5,9.0,2.0,2.0,2,1.0,1,4,1.0,2.0,2.0,1.0,2,1165.0,850,3,2,1315,160.0
3.0,2,1,610,4.0,980.0,2,2.0,4.0,2,1.0,1,2.0,2,5,2,3.0,3,1.0,5.0,2,1.0,1,5,1,3,9,6,6.0,3,4,9.0,2.0,5.0,4,1.0,1,6,2.0,2.0,1.0,1.0,3,1165.0,500,5,1,1315,175.0
3.2,2,1,610,2.0,420.0,2,2.0,2.0,2,2.0,2,1.0,1,3,2,2.0,2,2.0,4.0,1,1.0,1,3,3,1,4,7,5.0,1,5,3.0,1.0,4.0,5,1.0,1,3,2.0,3.0,1.0,2.0,1,940.0,500,2,1,1315,180.0
3.5,2,1,265,2.0,420.0,2,2.0,3.0,2,1.3888888888888888,2,2.0,1,3,5,3.0,5,2.0,5.0,8,1.0,1,5,3,3,9,7,5.0,5,5,10.0,1.0,5.0,2,1.0,1,4,5.0,2.0,1.0,2.0,5,580.0,500,4,1,760,167.0
4.0,1,1,720,3.0,420.0,2,1.0,3.0,1,1.0,1,1.0,1,7,3,2.0,4,2.0,2.0,2,2.0,1,3,4,2,7,2,5.0,3,4,8.0,2.0,5.0,4,3.0,3,3,2.0,3.0,2.0,1.0,3,940.0,500,5,1,1315,115.0
4.0,2,1,610,3.0,420.0,2,1.0,2.0,1,1.0,2,2.0,3,4,2,3.0,5,2.0,4.0,1,1.0,1,5,2,5,5,1,4.0,4,5,3.0,1.0,2.0,4,4.0,1,3,3.0,4.0,2.0,2.0,4,940.0,690,5,1,1315,205.0
3.4,2,1,610,3.0,315.0,2,4.0,5.0,4,1.3888888888888888,2,2.0,1,3,3,2.0,5,1.5892857142857142,5.0,2,1.7154471544715446,1,4,4,5,5,7,5.0,5,5,8.0,1.0,5.0,4,1.0,3,4,5.0,4.0,1.0,1.0,5,580.0,345,5,1,760,158.5
2.8,1,1,720,3.0,420.0,1,2.0,4.0,2,2.0,2,1.0,1,3,2,3.0,4,3.0,4.0,1,1.0,1,3,1,5,7,2,3.0,2,5,3.0,1.0,3.4262295081967213,4,1.0,1,3,2.0,3.0,1.0,2.0,1,1165.0,500,3,1,900,128.0
3.65,1,1,610,3.0,420.0,2,2.0,4.0,2,1.0,2,1.0,1,3,3,3.0,2,1.0,4.0,1,3.0,1,5,1,3,1,7,6.0,1,5,3.0,1.0,4.0,4,1.0,5,4,1.0,2.0,1.0,1.0,3,940.0,345,4,1,1315,150.0
3.0,1,1,610,2.0,420.0,2,2.0,1.0,2,1.0,3,1.0,1,3,2,3.0,2,1.0,4.0,5,1.0,1,5,3,3,2,6,4.0,1,5,3.0,2.0,4.0,2,2.0,1,3,2.0,2.0,1.0,1.0,2,940.0,690,5,2,760,150.0
3.7,1,1,610,3.0,420.0,2,2.0,3.0,2,1.3888888888888888,2,2.0,1,8,4,2.0,4,1.0,5.0,1,3.0,1,5,2,3,7,5,6.0,2,5,7.0,1.0,2.0,3,1.0,2,3,1.0,4.0,2.0,1.0,2,1165.0,500,5,2,900,150.0
3.4,1,1,720,4.0,420.0,2,1.0,2.0,1,6.0,2,2.0,1,3,2,2.0,4,3.0,2.0,1,1.0,1,3,4,5,4,2,6.0,3,5,2.0,2.0,3.0,4,1.0,1,4,3.0,4.0,1.0,1.0,5,940.0,500,4,2,1315,170.0
3.89,1,1,610,3.0,980.0,2,2.0,3.0,2,1.0,1,1.0,1,2,2,3.0,4,2.0,4.0,1,1.0,1,4,4,3,6,2,5.0,3,5,8.0,2.0,4.0,4,1.0,1,3,3.0,4.0,1.0,1.0,2,1165.0,690,3,2,1315,150.0
3.0,2,1,720,3.0283018867924527,980.0,2,9.0,5.0,9,1.0,2,2.0,1,2,5,3.0,3,1.0,5.0,2,1.0,1,5,4,1,3,2,6.0,3,4,5.0,2.0,2.0,1,2.0,3,3,1.0,1.0,1.0,1.0,3,1165.0,690,3,2,1315,175.0
3.4,2,1,430,3.0,315.0,1,3.0,3.0,3,1.0,3,2.0,1,9,2,3.0,4,1.0,4.0,1,1.0,1,3,1,5,10,2,6.0,3,5,8.0,1.0,4.0,3,1.0,1,3,3.0,2.0,1.0,1.0,3,940.0,500,4,2,760,140.0
2.9,1,1,720,4.0,980.0,2,5.0,2.0,5,1.0,4,1.0,1,3,4,2.0,4,1.0,2.0,1,1.0,1,5,2,5,6,3,3.0,3,5,4.0,1.0,3.0,4,1.0,1,3,2.0,6.0,1.0,2.0,4,940.0,690,5,1,1315,120.0
3.6,1,1,610,3.0,420.0,2,2.0,4.0,2,1.0,2,2.0,1,3,2,2.0,3,1.5892857142857142,4.0,1,1.0,1,5,2,5,6,1,6.0,4,5,7.0,1.0,4.0,1,1.0,2,3,2.0,3.0,1.0,2.0,4,940.0,500,4,2,900,135.0
3.5,1,1,430,2.0,980.0,1,3.0,3.0,3,1.0,2,1.0,2,5,1,2.4482758620689653,5,1.5892857142857142,2.0,4,3.0,1,4,3,5,6,2,3.0,5,5,8.0,2.0,2.0,3,1.3225806451612903,1,2,5.0,3.120967741935484,2.0,2.0,5,940.0,345,4,1,900,100.0
3.2,1,1,610,4.0,420.0,2,1.0,1.0,1,1.0,1,1.0,2,4,2,2.0,5,1.0,4.0,4,1.0,1,5,4,5,8,7,5.0,5,5,10.0,1.0,2.0,4,2.0,1,6,5.0,3.0,1.0,1.0,5,725.0,500,5,1,760,170.0
3.605,1,1,610,3.0,315.0,2,4.0,3.0,4,1.0,1,1.0,2,5,2,2.0,5,1.5892857142857142,4.0,1,1.0,1,5,2,5,3,6,6.0,5,5,3.0,2.0,4.0,2,1.0,2,4,5.0,1.0,1.0,2.0,5,940.0,500,5,2,900,113.0
3.8,2,1,430,2.0,420.0,1,3.0,3.0,3,1.0,2,2.0,1,2,2,2.0,4,2.0,3.0,1,1.0,1,4,1,4,4,5,4.0,3,5,4.0,1.0,4.0,3,1.0,2,3,3.0,3.0,1.0,1.0,3,725.0,345,4,2,900,168.0
2.8,2,1,430,3.0283018867924527,980.0,2,2.0,4.0,2,1.0,2,1.0,1,3,2,2.4482758620689653,3,1.0,5.0,1,3.0,1,5,1,3,8,7,6.0,2,4,9.0,1.0,5.0,2,1.0,1,3,4.0,2.0,1.0,1.0,1,940.0,345,5,2,900,145.0
3.5,2,2,430,3.0283018867924527,315.0,1,1.0,4.0,1,1.0,2,2.0,1,3,2,3.0,4,1.0,4.0,4,1.0,1,5,2,4,2,7,5.0,4,5,3.0,1.0,4.0,3,1.0,1,3,4.0,1.0,2.0,1.0,4,940.0,345,5,1,760,155.0
3.83,2,1,430,3.0,315.0,2,5.0,3.0,5,2.0,2,1.0,1,3,2,2.4482758620689653,3,2.0,2.0,1,1.0,1,3,3,4,9,2,3.0,4,5,9.0,2.0,4.0,2,1.0,2,6,2.806451612903226,1.0,2.0,2.0,4,1165.0,690,3,2,900,150.0
3.6,2,1,720,3.0,420.0,2,1.0,5.0,1,1.0,1,1.0,2,5,2,3.0,2,1.0,3.0,5,2.0,1,4,3,1,8,4,1.0,1,3,8.0,1.0,2.0,5,3.0,1,3,1.0,3.0,1.0,2.0,1,1165.0,500,5,2,760,169.0
3.3,2,1,610,4.0,980.0,1,5.0,3.0,5,1.0,4,1.0,1,3,3,3.0,5,1.0,2.0,0,1.0,1,5,2,5,8,5,6.0,5,5,8.0,1.0,2.0,5,1.0,1,3,5.0,2.0,1.0,1.0,5,1165.0,500,4,1,1315,185.0
3.3,2,1,610,4.0,420.0,2,2.0,1.0,2,1.0,3,1.0,1,3,5,2.4482758620689653,4,1.0,3.0,2,1.0,1,5,2,5,1,3,5.0,3,5,5.0,1.0,2.0,5,1.0,1,3,3.0,2.0,2.0,1.0,3,1165.0,500,5,2,900,200.0
3.292,2,1,610,3.0283018867924527,980.0,2,2.0,4.0,2,1.0,4,2.0,3,4,3,2.4482758620689653,3,1.5892857142857142,2.0,5,3.0,1,4,4,4,5,3,3.0,2,5,1.0,1.0,5.0,1,3.0,1,3,3.0,4.0,1.0,2.0,1,940.0,500,4,1,1315,265.0
3.5,2,1,610,3.0,420.0,2,1.0,1.0,1,2.0,1,1.0,2,5,3,3.0,5,1.0,4.0,1,1.0,2,5,2,5,10,7,6.0,4,5,10.0,1.0,5.0,4,1.0,1,6,2.0,2.0,1.0,1.0,4,940.0,690,5,1,900,165.0
3.35,1,2,610,2.0,315.0,2,2.0,3.0,2,1.3888888888888888,2,2.0,4,10,5,3.0,3,1.0,1.0,1,1.0,1,4,1,3,8,5,3.0,2,5,8.0,1.0,3.0,3,1.0,2,2,2.0,3.0,1.0,1.0,3,940.0,500,4,2,900,192.0
3.8,2,1,720,4.0,315.0,2,2.0,3.0,2,1.0,1,1.0,2,5,4,3.0,5,1.0,4.0,4,1.0,1,5,4,4,1,2,6.0,5,5,1.0,1.0,4.0,4,2.0,1,4,4.0,2.0,1.0,1.0,5,1165.0,500,5,1,1315,175.0
2.8,1,1,610,4.0,980.0,2,9.0,2.0,9,1.0,1,1.0,2,5,3,2.0,2,1.0,2.0,5,3.0,2,4,2,5,9,2,5.0,2,5,10.0,1.0,4.0,5,1.0,1,3,1.0,2.0,2.0,1.0,2,725.0,345,4,1,1315,140.0
3.5,1,1,610,3.0,420.0,2,1.0,1.0,1,2.0,3,2.0,1,11,2,2.0,5,2.0,4.0,2,1.0,2,5,3,5,4,6,5.0,5,5,1.0,1.0,5.0,2,2.0,1,4,4.0,3.0,1.0,1.0,5,1165.0,690,5,1,1315,155.0
3.7,1,1,610,3.0283018867924527,420.0,2,2.0,2.0,2,1.0,3,2.0,1,11,2,3.0,5,1.5892857142857142,4.0,1,3.0,1,5,4,5,7,1,6.0,5,5,10.0,1.0,4.0,2,2.0,2,3,4.0,3.0,2.0,1.0,5,1165.0,500,4,2,1315,155.0
3.6,1,1,610,4.0,420.0,2,3.0,2.0,3,1.0,1,2.0,3,4,5,3.0,5,1.0,4.0,2,1.0,1,5,1,4,3,6,6.0,1,5,5.0,1.0,4.0,4,1.0,1,3,1.0,2.0,1.0,1.0,1,1165.0,690,5,1,1315,135.0
3.4155583333333337,1,1,610,2.0,980.0,2,3.0,2.0,3,1.3888888888888888,1,1.0,2,5,2,2.0,4,2.0,2.0,2,2.0,2,3,4,3,2,2,4.0,2,4,5.0,2.0,4.0,4,3.0,1,2,3.0,2.0,2.0,2.0,2,725.0,500,3,1,1315,118.0
3.9,2,1,610,4.0,980.0,2,2.0,3.0,2,1.0,1,1.0,2,5,5,2.0,2,1.0,2.0,1,1.0,1,4,4,3,2,7,6.0,2,5,1.0,1.0,2.0,4,1.0,2,3,2.0,2.0,1.0,1.0,2,1165.0,850,4,1,1315,210.0
2.6,1,1,610,4.0,980.0,2,3.0,3.0,3,2.0,1,1.5609756097560976,3,4,4,3.0,5,1.0,4.0,1,1.0,1,5,3,4,8,6,5.0,4,4,8.0,2.0,4.0,4,1.0,1,3,4.0,2.0,1.217741935483871,1.0,4,1165.0,690,5,2,1315,180.0
3.5,1,1,610,3.0,420.0,1,2.0,1.0,2,1.0,1,1.0,1,3,3,2.0,4,1.0,2.0,4,3.0,1,5,2,4,3,5,2.0,3,5,1.0,2.0,2.0,4,1.0,1,2,3.0,4.0,2.0,1.0,3,940.0,500,5,1,760,140.0
3.2,1,1,610,3.0283018867924527,315.0,2,2.0,2.0,2,2.0,2,1.0,1,11,3,3.0,3,2.0,5.0,1,3.0,1,3,2,3,3,6,6.0,1,5,3.0,2.0,3.4262295081967213,1,1.0,2,5,1.0,2.0,1.0,2.0,4,725.0,500,3,2,900,112.0
3.0,1,1,720,3.0,420.0,1,3.0,2.0,3,1.0,1,2.0,1,3,2,3.0,3,1.5892857142857142,2.0,5,1.0,1,5,1,4,3,5,4.0,3,5,3.0,2.0,4.0,4,1.0,1,3,3.0,2.0,1.0,1.0,3,940.0,500,5,1,900,125.0
3.6,1,1,610,2.0,420.0,1,2.0,4.0,2,1.0,2,2.0,1,3,3,2.0,5,2.0,2.0,1,1.0,1,5,2,2,2,7,5.0,2,4,2.0,2.0,3.0,2,1.0,2,4,1.0,2.0,1.0,1.0,2,940.0,690,5,2,1315,158.5
3.2,1,1,430,3.0,315.0,1,1.0,3.0,1,1.0,1,2.0,1,3,1,3.0,4,1.0,5.0,1,1.0,1,5,1,3,8,3,6.0,2,5,8.0,2.0,5.0,3,1.0,1,4,2.0,3.0,1.0,1.0,4,725.0,500,5,2,760,145.0
3.67,1,2,720,4.0,420.0,2,2.0,2.0,2,1.3888888888888888,2,2.0,1,3,2,3.0,2,2.0,4.0,1,1.0,1,3,3,1,3,4,6.0,1,5,3.0,2.0,4.0,4,2.0,1,3,1.0,3.0,2.0,2.0,5,1165.0,690,5,1,1315,130.0
3.73,1,1,610,3.0,980.0,2,2.0,3.0,2,1.0,1,1.0,1,8,1,2.0,5,2.0,4.0,1,1.0,2,5,3,5,3,1,3.0,5,5,2.0,2.0,2.0,2,1.0,1,3,5.0,3.0,1.0,1.0,5,1165.0,500,5,1,1315,140.0
4.0,1,1,720,3.0283018867924527,420.0,2,2.0,2.0,2,1.0,1,1.0,1,11,1,2.0,5,1.0,2.0,1,1.0,2,5,3,3,5,3,5.0,4,5,2.0,2.0,4.0,4,1.0,1,6,3.0,4.0,1.0,1.0,4,1165.0,690,5,1,1315,140.0
3.1,2,2,610,3.0,980.0,2,2.0,3.0,2,1.0,2,2.0,1,3,1,2.0,4,2.0,3.4838709677419355,0,2.0,1,5,1,2,3,7,5.0,3,5,2.0,1.0,4.0,2,1.0,1,2,2.0,3.0,1.0,2.0,3,1165.0,345,5,1,1315,140.0
3.4155583333333337,2,1,720,4.0,420.0,2,2.0,1.0,2,1.0,2,2.0,2,12,4,3.0,3,1.0,4.0,2,1.0,1,3,2,3,1,3,6.0,1,5,2.0,2.0,2.0,5,3.0,1,3,1.0,3.0,1.0,1.0,2,1165.0,850,4,1,1315,200.0
2.71,2,2,265,2.0,420.0,1,9.0,2.0,9,4.0,4,2.0,3,4,1,3.0,3,2.0,1.0,0,2.0,1,4,3,3,8,8,3.0,3,3,10.0,4.0,1.0,2,2.0,3,5,3.0,3.0,1.0,2.0,3,580.0,345,4,2,760,158.5
3.0,1,1,610,3.0,420.0,2,3.0,3.0,3,1.0,1,1.0,1,3,2,2.0,5,1.0,4.0,1,1.0,1,5,1,3,6,2,5.0,4,5,9.0,2.0,4.0,4,1.0,2,4,3.0,3.0,1.0,2.0,4,940.0,500,4,1,900,120.0
3.7,1,2,610,3.0,420.0,1,2.0,2.0,2,1.0,2,2.0,1,3,2,2.0,2,2.0,2.0,5,3.0,1,4,4,2,4,3,3.0,1,5,4.0,1.0,5.0,3,2.0,1,3,1.0,4.0,2.0,1.0,1,1165.0,690,2,2,1315,150.0
3.1,2,2,265,2.0,420.0,1,2.0,2.0,2,1.0,2,2.0,2,13,2,2.0,1,2.0,2.0,5,2.0,1,3,4,1,4,7,3.0,1,4,5.0,2.0,5.0,1,1.0,1,3,1.0,3.0,2.0,1.0,2,725.0,345,2,2,900,200.0
3.0,1,1,720,3.0,420.0,2,1.0,2.0,1,1.0,3,1.0,1,2,2,2.0,3,1.0,2.0,4,1.0,2,5,2,4,8,3,5.0,3,4,8.0,2.0,2.0,4,1.0,1,3,2.0,3.0,1.0,1.0,3,580.0,345,4,1,1315,135.0
3.9,2,1,720,3.0,420.0,2,2.0,5.0,2,1.0,2,2.0,1,7,1,3.0,5,1.0,3.0,4,1.0,1,5,1,5,1,8,6.0,4,5,3.0,1.0,2.0,4,1.0,1,3,4.0,2.0,1.0,1.0,5,1165.0,850,4,2,1315,145.0
3.4,1,1,430,2.0,420.0,2,7.0,3.0,7,1.0,2,2.0,1,3,3,2.0,4,2.0,2.0,1,3.0,1,3,1,3,4,2,4.0,3,5,1.0,1.0,4.0,2,1.0,1,3,3.0,3.0,1.0,2.0,4,1165.0,500,2,1,900,130.0
3.5,1,2,610,3.0,420.0,1,2.0,3.0,2,1.0,2,2.0,1,3,3,3.0,4,1.0,4.0,1,1.0,1,4,4,4,2,3,4.0,4,5,2.0,2.0,4.0,2,1.0,3,5,4.0,4.0,2.0,1.0,4,725.0,500,2,2,900,190.0
3.7,1,1,265,3.0283018867924527,315.0,2,2.0,2.7868852459016393,2,1.0,4,2.0,1,3,5,3.0,4,1.0,4.0,1,1.0,1,3,3,3,8,2,3.0,3,5,7.0,1.0,4.0,3,1.0,2,3,3.0,3.0,1.0,1.0,3,580.0,345,3,2,575,170.0
3.7,1,1,430,3.0,420.0,2,2.0,2.0,2,1.0,2,1.0,1,2,2,2.4482758620689653,5,1.5892857142857142,2.0,2,1.0,1,4,1,5,4,5,1.0,5,5,1.0,1.5,1.0,3,1.0,2,2,5.0,3.0,1.0,1.0,5,940.0,690,4,2,1315,127.0
3.83,1,1,720,3.0,420.0,2,3.0,1.0,3,1.0,1,2.0,2,5,2,3.0,5,1.0,4.0,2,3.0,1,5,2,5,9,5,5.0,5,5,9.0,2.0,3.0,5,1.0,1,3,4.0,2.0,1.0,1.0,5,725.0,690,5,1,760,167.0
2.6,1,1,265,3.0,315.0,2,1.0,3.0,1,1.0,3,2.0,1,2,3,2.0,3,3.0,5.0,4,3.0,1,5,1,4,7,5,6.0,2,5,7.0,2.0,3.0,3,1.0,2,3,3.0,3.0,1.0,2.0,3,580.0,500,4,1,760,140.0
3.0,1,1,610,3.0,420.0,2,2.0,2.0,2,1.0,1,2.0,2,5,1,3.0,4,2.0,2.0,4,3.0,1,5,1,4,3,5,6.0,4,5,1.0,1.0,4.0,5,1.0,1,3,3.0,4.0,1.0,1.0,4,580.0,500,4,1,900,190.0
3.2,2,1,720,3.0,420.0,1,3.0,4.0,3,1.0,2,2.0,1,3,2,2.0,3,1.0,4.0,5,2.0,1,4,2,1,5,2,6.0,1,5,4.0,1.0,5.0,2,1.0,1,3,1.0,4.0,1.0,1.0,1,1165.0,690,4,1,1315,155.0
3.5,2,2,720,4.0,980.0,2,9.0,2.7868852459016393,9,1.0,2,2.0,2,5,1,2.0,5,1.0,2.0,2,1.0,1,4,3,5,7,6,2.0,5,5,1.0,1.0,3.4262295081967213,5,1.0,1,4,5.0,2.0,1.0,2.0,5,1165.0,850,4,1,1315,175.0
3.2,1,1,610,3.0,420.0,2,1.0,3.0,1,1.3888888888888888,2,1.0,2,5,2,2.0,5,1.0,4.0,4,1.0,2,5,3,4,7,2,3.0,5,5,1.0,1.0,2.0,5,1.0,2,3,4.0,3.0,1.0,2.0,5,1165.0,500,5,1,900,129.0
3.68,2,1,720,4.0,420.0,2,2.0,4.0,2,1.3888888888888888,1,2.0,2,5,2,3.0,3,1.0,2.0,1,1.0,1,5,1,4,7,4,6.0,3,5,8.0,1.0,3.0,2,1.0,1,4,3.0,4.0,2.0,1.0,3,1165.0,850,4,1,1315,260.0
