gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1.0,0.0,0.0,0.0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,20.2,0
0.0,0.0,1.0,1.0,72,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,64.93434633908748,7251.7,0
0.0,0.0,0.0,0.0,46,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,74.8,3548.3,0
1.0,0.0,0.0,0.0,34,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,64.93434633908748,3549.25,1
1.0,0.0,1.0,1.0,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,49.55,475.7,0
0.0,0.0,1.0,1.0,70,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,69.2,4872.35,0
0.0,0.0,1.0,1.0,17,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.75,418.25,0
0.0,0.0,0.0,0.0,49,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,64.93434633908748,3906.7,0
1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,64.93434633908748,97.0,0
1.0,0.0,0.0,0.0,52,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,79.75,4217.8,0
0.0,0.0,1.0,1.0,69,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,64.15,4254.1,0
0.0,0.0,0.0,0.0,15,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,99.1,1426.4,1
0.0,1.0,1.0,0.0,25,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,69.5,1752.65,0
0.0,1.0,1.0,0.0,8,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.65,633.3,1
1.0,1.0,0.0,0.0,18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,64.93434633908748,1752.55,1
0.0,0.0,1.0,1.0,63,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,99.65,6311.2,0
0.0,0.0,1.0,1.0,34,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,24.95,894.3,0
0.0,0.0,0.0,0.0,72,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,107.5,7853.7,0
1.0,0.0,0.0,0.0,60,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,89.9,5450.7,0
1.0,0.0,1.0,0.0,72,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,42.1,2962.0,0
0.0,0.0,0.0,0.0,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,64.93434633908748,857.25,1
0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,75.3,244.1,0
0.0,0.0,0.0,0.0,31,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,79.2,2497.2,0
0.0,0.0,1.0,1.0,50,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.15,930.9,0
1.0,0.0,0.0,0.0,10,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,79.85,887.35,0
1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,49.05,49.05,0
0.0,0.0,1.0,1.0,52,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,20.4,1090.65,0
1.0,1.0,1.0,1.0,64,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,64.93434633908748,7099.0,0
1.0,0.0,1.0,1.0,62,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,64.93434633908748,1424.6,0
0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,64.93434633908748,177.4,0
0.0,0.0,0.0,0.0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,64.93434633908748,2688.85,0
0.0,0.0,1.0,1.0,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,64.93434633908748,482.25,0
0.0,0.0,1.0,1.0,45,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25.9,1216.6,0
0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,79.35,79.35,1
0.0,0.0,1.0,1.0,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,50.55,565.35,0
0.0,0.0,1.0,0.0,7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,64.93434633908748,496.9,1
1.0,0.0,0.0,0.0,9,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,99.3,918.75,0
0.0,0.0,1.0,0.0,35,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,62.15,2215.45,0
0.0,0.0,1.0,1.0,46,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,19.95,927.1,0
1.0,0.0,1.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,33.75,1009.25,0
1.0,0.0,1.0,1.0,30,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.05,2570.2,0
0.0,0.0,0.0,0.0,65,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,111.05,7107.0,0
1.0,0.0,0.0,0.0,72,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,64.93434633908748,7459.05,0
0.0,0.0,0.0,0.0,12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,78.95,927.35,1
1.0,0.0,0.0,0.0,52,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,1107.2,0
0.0,1.0,1.0,0.0,25,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,98.5,2514.5,1
1.0,0.0,0.0,0.0,38,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,95.0,3605.6,0
0.0,1.0,1.0,0.0,66,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,45.55,3027.25,0
0.0,0.0,1.0,1.0,72,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,104.15,7303.05,0
0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,30.15,927.65,0
1.0,0.0,0.0,0.0,43,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,94.35,3921.3,0
1.0,0.0,1.0,1.0,72,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,19.4,1363.25,0
1.0,0.0,1.0,0.0,55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,96.75,5238.9,1
0.0,0.0,0.0,0.0,43,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,91.65,3954.1,0
0.0,1.0,1.0,0.0,37,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,76.5,2868.15,1
1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,89.85,248.4,0
0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.05,1126.35,0
0.0,0.0,0.0,0.0,41,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,20.65,835.15,0
1.0,0.0,1.0,1.0,27,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,85.2,2151.6,0
0.0,0.0,1.0,1.0,56,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,99.8,5515.45,0
0.0,0.0,0.0,0.0,6,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.7,112.75,0
0.0,0.0,1.0,1.0,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.7,350.35,0
1.0,0.0,1.0,0.0,72,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,23.55,1723.95,0
1.0,0.0,0.0,0.0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.75,19.75,0
0.0,0.0,1.0,1.0,25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,58.6,1502.65,1
1.0,0.0,0.0,0.0,67,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,50.55,3260.1,0
1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,35.45,35.45,1
1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.35,81.25,1
0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,64.93434633908748,70.45,1
0.0,1.0,1.0,1.0,72,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,88.05,6425.65,0
0.0,0.0,0.0,0.0,8,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,71.15,563.65,1
0.0,0.0,1.0,0.0,61,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,101.05,5971.25,0
1.0,1.0,1.0,0.0,71,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,23.95,1756.2,0
1.0,0.0,0.0,0.0,3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,19.6,61.35,0
1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.65,45.65,1
1.0,0.0,0.0,1.0,30,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,64.5,1929.95,0
1.0,0.0,1.0,1.0,15,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,64.93434633908748,1071.4,0
0.0,0.0,1.0,1.0,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,68.55,564.35,0
0.0,0.0,1.0,1.0,70,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,108.15,7930.55,0
1.0,0.0,1.0,1.0,62,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,86.1,5215.25,0
0.0,0.0,1.0,1.0,6,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.7,113.5,0
0.0,0.0,0.0,0.0,22,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,64.93434633908748,1821.95,0
1.0,0.0,1.0,1.0,16,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,64.25,1024.0,0
0.0,0.0,0.0,1.0,13,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,56.0,764.55,0
0.0,0.0,1.0,0.0,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.93434633908748,1592.35,1
1.0,0.0,0.0,0.0,53,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,73.9,3958.25,0
0.0,0.0,0.0,0.0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.9,273.0,1
1.0,0.0,1.0,0.0,72,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,89.05,6254.45,0
1.0,1.0,1.0,0.0,58,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,45.3,2651.2,1
1.0,0.0,1.0,0.0,43,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,64.93434633908748,3539.25,0
1.0,0.0,1.0,0.0,14,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,64.93434633908748,1181.75,0
0.0,0.0,1.0,0.0,53,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,94.85,5000.2,1
0.0,0.0,0.0,0.0,32,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.55,654.55,0
0.0,0.0,1.0,0.0,34,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.93434633908748,780.2,0
0.0,1.0,0.0,0.0,15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,74.45,1145.7,1
0.0,1.0,0.0,0.0,7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.45,503.6,1
1.0,0.0,1.0,0.0,61,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,64.93434633908748,1252.0,0
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.95,29.95,1
1.0,0.0,0.0,0.0,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.93434633908748,662.65,1
1.0,0.0,1.0,1.0,33,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,74.75,2453.3,0
0.0,0.0,0.0,0.0,13,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,79.25,1111.65,1
0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,64.93434633908748,24.8,1
1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,30.4,82.15,0
0.0,0.0,0.0,0.0,13,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,19.65,244.8,0
1.0,0.0,1.0,0.0,6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,91.0,531.0,1
0.0,0.0,1.0,1.0,69,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.75,1375.4,0
0.0,0.0,1.0,1.0,72,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,109.7,8129.3,0
1.0,0.0,1.0,1.0,59,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,64.93434633908748,1192.7,0
0.0,0.0,1.0,0.0,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,96.55,1901.65,0
1.0,0.0,0.0,0.0,59,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,111.35,6519.75,0
1.0,0.0,1.0,1.0,72,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,112.25,8041.65,0
1.0,0.0,0.0,1.0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.75,20.75,0
0.0,0.0,0.0,0.0,14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,80.05,1112.3,0
1.0,0.0,1.0,1.0,71,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,105.55,7405.5,0
1.0,0.0,0.0,1.0,13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,78.3,1033.95,0
1.0,0.0,0.0,0.0,44,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.85,2958.95,0
0.0,0.0,0.0,0.0,33,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,79.95,2684.85,0
1.0,0.0,1.0,1.0,72,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,55.45,4179.2,0
0.0,0.0,0.0,0.0,19,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,106.6,1934.45,1
1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.93434633908748,84.5,1
0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.25,25.25,0
1.0,0.0,0.0,1.0,61,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,19.75,1124.2,0
0.0,0.0,1.0,1.0,29,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,20.0,540.05,0
1.0,1.0,1.0,0.0,23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,86.8,1975.85,0
0.0,0.0,1.0,0.0,57,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,58.75,3437.45,0
1.0,0.0,1.0,1.0,72,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,64.93434633908748,3139.8,0
1.0,0.0,1.0,1.0,65,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,64.93434633908748,5324.5,0
0.0,0.0,0.0,0.0,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,80.0,624.6,0
0.0,0.0,0.0,0.0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,64.93434633908748,268.35,1
0.0,0.0,1.0,0.0,71,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.75,1836.9,0
1.0,0.0,1.0,1.0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,20.2,20.2,0
1.0,0.0,0.0,0.0,24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,64.93434633908748,1288.75,0
0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,55.2,55.2,1
1.0,0.0,0.0,0.0,30,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,89.9,2723.15,0
0.0,0.0,1.0,1.0,47,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,85.3,4107.25,0
1.0,0.0,0.0,0.0,54,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,108.0,5760.65,0
1.0,0.0,0.0,0.0,50,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,93.5,4747.5,0
1.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,84.6,84.6,1
0.0,0.0,0.0,0.0,29,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.15,702.0,0
0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,64.93434633908748,299.05,0
1.0,0.0,1.0,0.0,18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,73.15,1305.95,0
0.0,1.0,0.0,0.0,11,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,95.0,1120.3,1
1.0,0.0,0.0,0.0,16,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,19.75,284.35,0
0.0,0.0,0.0,0.0,72,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,86.6,6350.5,0
1.0,0.0,0.0,0.0,72,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,109.2,7878.3,0
0.0,0.0,1.0,1.0,41,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,74.7,3187.65,0
0.0,1.0,0.0,0.0,13,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,54.8,731.3,0
1.0,0.0,0.0,0.0,41,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,64.93434633908748,2531.8,0
1.0,1.0,0.0,0.0,15,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,74.4,1074.3,1
1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,48.55,48.55,1
1.0,0.0,0.0,0.0,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,99.0,4298.45,0
1.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,40.2,40.2,1
1.0,0.0,0.0,1.0,32,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,83.7,2633.3,0
1.0,0.0,0.0,0.0,10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,19.85,193.05,0
0.0,0.0,1.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,44.6,80.55,1
1.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,41.15,132.2,1
1.0,1.0,0.0,0.0,13,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,106.9,1364.3,1
