MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice
60,2,108.0,13418,1,3,3,0,4,0,14,2,0,0,3,8,5,0,0,7,9,132.0,2,2,2,0,2,0,5,0,0,0,1117,1117,0,0,1,4,1132,1320,0,2452,0,0,3,1,4,1,2,9,4,1,2,2,0,3,691,3,4,2,113,32,0,0,0,0,0,9,8,3,2.4090826290300513
20,2,68.0,7922,1,3,3,0,4,0,10,2,0,0,2,5,7,0,0,7,9,0.0,3,1,1,3,2,3,2,731,0,0,326,1057,0,3,1,4,1057,0,0,1057,1,0,1,0,3,1,2,5,4,0,3,3,3,1,246,3,4,2,0,52,0,0,0,0,0,1,8,0,-1.26582615210284
20,2,84.0,8658,1,3,3,0,4,0,10,2,0,0,2,6,5,0,0,8,10,101.0,3,2,1,3,2,3,4,643,0,0,445,1088,0,0,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,4,1,5,0,2,2,440,3,4,2,0,138,0,0,0,0,0,12,8,0,-0.32872441291395277
120,2,61.0,7658,1,3,3,0,4,0,14,2,0,3,2,9,5,2,0,4,5,412.0,0,2,2,0,2,3,2,456,0,0,1296,1752,0,0,1,4,1752,0,0,1752,1,0,2,0,2,1,0,6,4,1,2,0,2,2,576,3,4,2,196,82,0,0,0,0,0,2,8,3,2.6093651576017938
20,0,84.0,11096,1,3,3,0,4,0,19,2,0,0,2,8,5,0,0,7,9,0.0,2,2,2,2,2,0,2,24,0,0,1632,1656,0,0,1,4,1656,0,0,1656,0,0,2,0,3,1,2,7,4,0,3,0,2,3,826,3,4,2,0,146,0,0,0,0,0,7,8,3,1.319472175424149
20,2,66.0,7742,1,3,3,0,4,0,17,2,0,0,2,5,7,0,0,3,3,0.0,3,2,1,3,2,3,1,763,0,0,192,955,0,0,1,4,955,0,0,955,1,0,1,0,3,1,3,6,4,0,3,0,3,1,386,3,4,2,0,0,0,0,0,0,0,1,8,3,-0.9350843618008798
80,2,60.0,7134,1,3,0,0,4,1,10,2,0,0,5,5,5,0,0,4,5,0.0,3,2,1,3,2,3,0,384,0,0,0,384,0,3,1,4,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,5,3,3,2,572,3,4,2,0,50,0,0,0,0,0,2,8,3,-0.8799607300838865
60,2,89.0,11645,1,0,3,0,0,0,3,2,0,0,3,7,5,0,0,7,9,0.0,2,2,2,2,2,3,5,0,0,0,860,860,0,0,1,4,860,860,0,1720,0,0,2,1,3,1,2,7,4,0,3,0,2,2,565,3,4,2,0,70,0,0,0,0,0,8,8,3,0.3419464396427999
20,2,60.0,7200,1,3,0,0,4,0,3,2,0,0,2,5,7,0,0,3,3,0.0,3,2,1,3,2,0,0,632,0,0,148,780,0,0,1,4,780,0,0,780,0,0,1,0,2,1,3,4,4,0,3,3,3,1,352,3,4,2,196,0,0,0,0,0,0,1,8,3,-0.9736709040027752
20,2,63.0,13072,1,3,3,0,4,0,18,4,0,0,2,6,5,0,0,7,9,0.0,3,2,2,2,2,3,0,941,0,0,217,1158,0,0,1,4,1158,0,0,1158,1,0,1,1,3,1,2,5,4,0,3,3,3,2,576,3,4,2,0,50,0,0,0,0,0,5,6,4,-0.3654735007252817
120,2,44.0,6442,1,0,3,0,4,0,14,2,0,3,2,8,5,0,0,7,9,178.0,2,2,2,2,1,2,2,24,0,0,1346,1370,0,0,1,4,1370,0,0,1370,0,0,2,0,2,1,2,6,4,1,2,0,2,2,484,3,4,2,120,49,0,0,0,0,0,10,8,3,0.45219370307678664
60,2,76.0,9591,1,3,3,0,4,0,14,2,0,0,3,8,5,0,0,7,9,344.0,2,2,2,0,2,0,5,0,0,0,1143,1143,0,0,1,4,1143,1330,0,2473,0,0,2,1,4,1,2,9,4,1,2,2,2,3,852,3,4,2,192,151,0,0,0,0,0,10,8,3,2.556078980275367
20,2,72.0,10665,1,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,167.0,2,2,2,2,2,0,2,1013,0,0,440,1453,0,0,1,4,1479,0,0,1479,1,0,2,0,3,1,2,7,4,0,3,0,2,2,558,3,4,2,144,29,0,0,0,0,0,6,8,3,0.8839954848599014
30,3,47.0,4608,1,3,3,0,0,0,15,0,0,0,2,4,6,0,0,4,5,0.0,3,1,1,3,2,3,5,0,0,0,747,747,0,3,1,4,747,0,0,747,0,0,1,0,2,1,3,4,4,0,3,0,3,1,220,3,4,2,0,0,0,0,0,0,0,6,8,3,-1.7986879253671093
20,2,69.0,7599,1,3,3,0,0,0,9,2,0,0,2,4,6,0,0,3,6,0.0,3,2,1,3,2,3,0,565,0,0,280,845,0,3,1,4,845,0,0,845,1,0,1,0,2,1,3,4,4,0,3,3,3,2,360,3,4,2,0,0,0,0,0,0,0,6,8,3,-0.8891480020367187
20,2,69.0,8475,1,0,3,0,4,0,10,2,0,0,2,4,7,0,0,7,9,0.0,3,2,1,3,2,3,0,228,0,0,724,952,0,0,1,0,952,0,0,952,0,0,1,0,2,1,3,4,4,0,3,3,3,1,283,3,4,2,0,0,0,0,0,0,0,4,8,3,-0.7743071026263159
20,2,80.0,8892,1,0,3,0,4,0,10,2,0,0,2,5,5,0,0,4,5,66.0,3,2,1,3,2,3,5,0,0,0,1065,1065,0,2,1,4,1065,0,0,1065,0,0,1,1,3,1,3,6,4,0,3,3,3,2,461,3,4,2,74,0,0,0,0,0,0,7,0,3,-0.944271633753712
20,2,60.0,8070,1,3,3,0,4,0,3,2,0,0,2,4,5,0,0,7,9,0.0,3,2,2,2,2,3,2,588,0,0,402,990,0,0,1,4,990,0,0,990,1,0,1,0,3,1,3,5,4,0,3,4,1,0,0,2,2,2,0,0,0,0,0,0,0,8,8,3,-0.997557811080139
60,2,69.0,9337,1,0,3,0,4,0,3,2,0,0,3,6,5,0,0,7,9,0.0,3,1,2,2,2,3,2,648,0,0,176,824,0,0,1,4,905,881,0,1786,1,0,2,1,3,1,2,7,4,0,3,0,2,2,684,3,4,2,0,162,0,0,0,0,0,5,8,3,0.4935364268645317
20,2,78.0,10264,1,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,183.0,2,2,2,2,2,0,0,1162,0,0,426,1588,0,0,1,4,1588,0,0,1588,0,0,2,0,3,1,2,6,4,0,3,0,2,2,472,3,4,2,158,29,0,0,0,0,0,8,8,3,0.6635009579919279
20,2,73.0,10921,1,3,1,0,4,0,5,2,0,0,2,4,5,2,0,3,3,48.0,3,2,1,3,2,3,4,520,0,0,440,960,0,3,1,1,960,0,0,960,1,0,1,0,3,1,3,6,4,0,3,0,0,1,432,3,4,1,120,0,0,0,0,0,0,5,8,3,-1.5276634027585585
20,2,69.0,10603,1,0,3,0,4,0,12,2,0,0,2,6,7,0,0,5,6,28.0,3,2,2,3,2,2,0,1200,0,0,410,1610,0,2,1,4,1610,0,0,1610,1,0,2,0,3,1,2,6,4,2,5,0,2,2,480,3,4,2,168,68,0,0,0,0,0,2,8,3,0.4981300628409478
60,2,77.0,9206,1,3,3,0,4,0,18,2,0,0,3,6,5,0,0,3,3,336.0,2,2,1,2,2,3,5,0,0,0,741,741,0,3,1,4,977,755,0,1732,0,0,2,1,3,1,2,7,4,1,5,0,0,2,476,3,4,2,192,46,0,0,0,0,0,6,8,3,0.002017377388007456
20,2,94.0,10402,1,0,3,0,0,0,3,2,0,0,2,7,5,0,0,7,9,0.0,3,2,2,2,2,3,5,0,0,0,1226,1226,0,0,1,4,1226,0,0,1226,0,0,2,0,3,1,2,6,4,0,3,0,2,3,740,3,4,2,0,36,0,0,0,0,0,5,8,3,0.3860453450163946
50,2,75.0,9525,1,3,3,0,4,0,5,2,0,0,0,6,4,0,0,8,10,0.0,3,2,1,3,0,3,4,444,0,0,550,994,0,2,1,4,1216,639,0,1855,0,0,2,0,4,1,3,7,4,0,3,0,3,1,325,3,4,2,182,0,0,0,0,0,0,10,8,3,-0.7531763771348018
80,2,69.0,7750,1,0,3,0,4,0,6,2,0,0,5,7,5,0,0,7,9,0.0,3,2,2,2,2,3,2,250,0,0,134,384,0,0,1,4,774,656,0,1430,0,0,2,1,3,1,3,7,4,1,5,2,0,2,400,3,4,2,180,0,0,0,0,0,0,4,8,3,0.03876646519933637
20,2,74.0,8536,1,3,3,0,0,0,5,2,0,0,2,5,5,0,0,7,9,0.0,3,2,2,2,2,3,5,0,0,0,1125,1125,0,2,1,4,1125,0,0,1125,0,0,1,1,2,1,3,5,4,0,3,0,3,2,430,3,4,2,80,64,0,0,0,0,0,4,6,4,-0.42059713244227503
60,2,65.0,8461,1,3,3,0,4,0,3,2,0,0,3,6,5,0,0,7,9,0.0,2,2,2,2,2,3,5,0,0,0,728,728,0,0,1,4,728,728,0,1456,0,0,2,1,3,1,2,8,4,1,2,0,0,2,390,3,4,2,0,24,0,0,0,0,0,7,6,4,-0.2554099827303516
120,2,55.0,7892,1,3,3,0,4,0,18,2,0,3,2,6,5,0,0,5,6,0.0,2,2,2,2,2,3,2,300,0,0,899,1199,0,0,1,4,1199,0,0,1199,0,0,2,0,2,1,2,5,4,0,3,0,2,2,530,3,4,2,0,63,0,0,0,0,0,3,8,3,-0.44080913073850597
45,3,55.0,4388,1,0,0,0,4,0,15,1,0,0,1,5,7,0,0,9,10,0.0,3,1,0,3,2,3,3,116,0,0,556,672,0,0,1,4,840,0,0,840,0,0,1,0,3,1,3,5,4,1,5,4,1,0,0,2,2,0,0,0,0,0,0,0,0,6,8,3,-1.670066118027458
60,2,69.0,7590,1,3,3,0,4,0,10,3,0,0,3,6,5,0,0,7,9,266.0,3,2,1,3,2,3,1,512,0,0,148,660,0,3,1,4,660,688,0,1348,0,0,1,1,3,1,3,6,4,1,1,0,2,2,453,3,4,2,188,108,0,0,0,0,0,7,8,3,-0.42059713244227503
60,2,88.0,14200,1,3,3,0,0,0,10,2,0,0,3,7,6,0,0,4,5,309.0,3,2,1,3,2,3,4,445,0,0,479,924,0,0,1,4,1216,941,0,2157,0,0,2,1,4,1,2,8,4,2,2,0,0,2,487,3,4,2,105,66,0,0,0,0,0,5,8,3,0.8839954848599014
60,2,69.0,12224,1,0,3,0,0,0,6,2,0,0,3,6,5,0,0,7,9,40.0,2,2,2,2,2,3,2,695,0,0,297,992,0,0,1,4,1022,1032,0,2054,1,0,2,1,3,1,2,7,4,1,5,2,2,2,390,3,4,2,24,48,0,0,0,0,0,7,8,3,1.2147372751618617
20,2,75.0,7388,1,3,3,0,0,0,10,2,0,0,2,5,6,0,0,4,5,0.0,3,2,1,3,2,3,4,405,0,0,658,1063,0,2,1,4,1327,0,0,1327,1,0,1,0,3,1,2,7,4,0,3,3,3,2,624,3,4,2,0,0,0,0,0,0,0,7,8,3,-0.498688944041349
20,2,69.0,6853,1,0,3,0,4,0,21,2,0,0,2,8,5,0,0,7,9,136.0,2,2,2,0,2,3,2,1005,0,0,262,1267,0,0,1,4,1296,0,0,1296,1,0,2,0,2,1,2,6,4,0,3,0,0,2,471,3,4,2,192,25,0,0,0,0,0,6,8,3,0.7737482214259147
20,2,80.0,10400,1,3,3,0,4,0,12,2,0,0,2,7,6,2,0,5,6,288.0,3,2,2,3,2,3,5,0,0,0,1304,1304,0,2,1,4,1682,0,0,1682,0,0,2,0,3,1,3,7,4,1,2,0,3,2,530,3,4,2,98,0,0,0,0,0,0,5,8,3,-0.07148079823465037
20,2,69.0,10355,1,0,3,0,0,0,10,2,0,0,2,5,5,0,0,4,5,196.0,3,2,1,3,2,3,1,695,0,0,519,1214,0,3,1,4,1214,0,0,1214,0,0,2,0,3,1,3,5,4,1,1,0,2,1,318,3,4,2,0,111,0,0,0,0,0,7,8,3,-0.6410916593102486
60,2,73.0,9066,1,0,3,0,4,0,3,2,0,0,3,8,5,0,0,7,9,320.0,2,2,2,2,2,2,2,668,0,0,336,1004,0,0,1,4,1004,848,0,1852,0,0,2,1,3,1,2,7,4,2,5,0,0,3,660,3,4,2,224,106,0,0,0,0,0,12,8,3,0.9574936604825592
60,2,65.0,15426,1,0,3,0,4,0,3,2,0,0,3,6,5,0,0,7,9,0.0,3,2,2,2,2,3,2,821,0,0,107,928,0,0,1,4,928,836,0,1764,1,0,2,1,3,1,2,7,4,0,3,0,2,2,470,3,4,2,276,99,0,0,0,0,0,8,8,3,0.985055476341056
20,2,70.0,10500,1,3,3,0,2,0,10,2,0,0,2,4,5,0,0,3,3,0.0,3,2,1,3,2,3,0,432,0,0,432,864,0,3,1,4,864,0,0,864,0,0,1,0,3,1,3,5,4,1,4,4,1,0,0,2,2,2,0,0,0,0,0,0,0,4,4,3,-1.1555788886688534
20,2,78.0,11645,1,3,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,0.0,2,2,2,2,2,0,2,1300,0,0,434,1734,0,0,1,4,1734,0,0,1734,1,0,2,0,3,1,2,7,4,0,3,0,0,2,660,3,4,2,160,24,0,0,0,0,0,1,8,3,1.508729977652493
50,2,71.0,8520,1,3,3,0,0,0,10,0,0,0,0,5,4,0,0,1,10,0.0,3,0,1,3,2,3,4,507,0,0,403,910,0,1,1,4,910,475,0,1385,0,0,2,0,4,1,3,6,4,0,3,3,3,2,720,3,4,2,0,0,0,0,0,0,0,6,8,3,-0.21847714947996602
20,2,78.0,10335,1,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,183.0,2,2,2,2,2,1,2,679,0,0,811,1490,0,0,1,4,1501,0,0,1501,1,0,2,0,3,1,2,6,4,0,3,0,2,2,577,3,4,2,144,29,0,0,0,0,0,6,8,3,0.47975551893528334
30,3,51.0,6120,1,3,3,0,0,0,1,2,0,0,2,5,7,0,0,8,10,0.0,3,2,0,3,2,3,1,209,0,0,506,715,0,3,1,0,875,0,0,875,1,0,1,0,2,1,3,5,4,0,3,3,3,1,180,0,4,2,48,0,0,0,0,0,0,11,8,3,-1.3393243277254978
60,2,69.0,9505,1,0,3,0,1,0,6,2,0,0,3,7,5,0,0,7,9,180.0,2,2,2,2,2,3,5,0,0,0,884,884,0,0,1,4,884,1151,0,2035,0,0,2,1,3,1,2,8,4,1,2,2,0,2,434,3,4,2,144,48,0,0,0,0,0,5,8,3,0.8196845811900758
20,2,63.0,7500,1,3,3,0,4,0,18,2,0,0,2,7,5,0,0,7,9,120.0,3,2,2,2,2,3,2,680,0,0,400,1080,0,0,1,4,1080,0,0,1080,1,0,1,0,3,1,2,6,4,0,3,4,1,0,0,2,2,2,0,0,0,0,0,0,0,4,8,3,-0.6778407471215775
50,3,69.0,6240,1,3,3,0,4,0,1,2,0,0,0,5,4,0,0,4,5,0.0,3,2,0,2,2,3,5,0,0,0,896,896,0,2,1,0,896,448,0,1344,0,0,1,0,3,1,3,7,4,0,3,3,3,1,240,0,4,2,200,114,0,0,0,0,0,4,8,3,-1.1555788886688534
60,2,69.0,14803,1,0,3,0,1,0,12,2,0,0,3,6,5,0,0,3,3,252.0,3,2,1,3,2,3,4,416,0,0,409,825,0,2,1,4,1097,896,0,1993,0,0,2,1,4,1,3,8,4,1,2,0,2,2,495,3,4,2,0,66,0,0,0,0,0,6,8,3,0.22251190425598094
60,2,92.0,12003,1,3,3,0,0,0,21,2,0,0,3,8,5,0,0,7,9,84.0,2,2,2,0,2,3,5,0,0,0,774,774,0,0,1,4,774,1194,0,1968,0,0,2,1,4,1,0,8,4,1,2,2,0,3,680,3,4,2,0,75,0,0,0,0,0,5,6,4,1.6832881447563053
60,0,100.0,12552,1,3,3,0,0,0,19,2,0,0,3,7,5,0,0,7,9,0.0,2,2,2,2,2,3,2,222,0,0,769,991,0,0,1,4,991,956,0,1947,0,0,2,1,3,1,2,8,4,1,2,0,2,2,678,3,4,2,0,136,0,0,0,0,0,5,8,3,1.4150198037336041
20,2,69.0,11120,1,0,3,0,1,0,22,2,0,0,2,6,6,0,0,5,6,0.0,3,2,2,2,2,3,1,660,0,0,572,1232,0,3,1,4,1232,0,0,1232,0,0,2,0,3,1,3,6,4,0,3,0,3,2,516,3,4,2,0,0,0,0,0,0,0,6,8,3,-0.2827880531497916
20,2,95.0,12182,1,3,3,0,0,0,14,2,0,0,2,7,5,0,0,7,9,226.0,2,2,2,2,2,2,1,1201,0,0,340,1541,0,0,1,4,1541,0,0,1541,0,0,2,0,3,1,2,7,4,1,2,0,2,2,532,3,4,2,0,70,0,0,0,0,0,5,6,4,0.7737482214259147
45,2,55.0,5500,1,3,3,0,4,0,15,2,0,0,1,4,6,0,0,4,5,0.0,3,2,1,3,2,3,5,0,0,0,882,882,0,0,1,4,882,0,0,882,0,0,1,0,1,1,3,4,4,0,3,4,1,0,0,2,2,2,0,0,0,0,0,0,0,4,8,3,-1.3723985067556939
60,2,86.0,10562,1,3,3,0,4,0,14,2,0,0,3,8,5,0,0,7,9,300.0,2,2,2,0,2,3,2,1288,0,0,294,1582,0,0,1,4,1610,551,0,2161,1,0,1,1,3,1,0,8,4,1,2,0,0,3,789,3,4,2,178,120,0,0,0,0,0,11,6,4,2.7145410469178173
60,2,62.0,8244,1,0,3,0,4,0,6,2,0,0,3,7,5,0,0,7,9,0.0,2,2,2,2,2,3,5,0,0,0,840,840,0,0,1,4,840,880,0,1720,0,0,2,1,3,1,2,7,4,1,2,0,0,2,440,3,4,2,100,48,0,0,0,0,0,5,8,3,0.10307736886916197
80,2,69.0,9947,1,0,3,0,1,0,9,2,0,0,5,7,5,0,0,3,3,0.0,3,2,2,2,2,0,2,611,0,0,577,1188,0,0,1,4,1217,0,0,1217,1,0,2,0,3,1,2,6,4,0,3,0,3,2,497,3,4,2,168,27,0,0,0,0,0,6,8,3,-0.08985534214031483
20,2,68.0,9017,1,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,0.0,2,2,2,2,2,0,2,560,0,0,871,1431,0,0,1,4,1431,0,0,1431,1,0,2,0,3,1,2,6,4,0,3,0,0,2,666,3,4,2,0,35,0,0,0,0,0,9,8,3,0.25926099206730985
20,2,60.0,7180,1,0,3,0,4,0,3,2,0,0,2,5,7,2,0,3,3,0.0,3,2,1,3,2,0,0,390,0,0,474,864,0,3,1,4,864,0,0,864,0,0,1,0,3,1,3,5,4,0,3,3,3,1,352,3,4,2,0,0,0,0,0,0,0,5,8,3,-0.9350843618008798
20,3,80.0,8546,1,3,3,0,0,0,5,2,0,0,2,4,5,0,0,7,9,0.0,3,2,2,2,2,3,5,0,0,0,1121,1121,0,0,1,4,1121,0,0,1121,0,0,2,0,2,1,3,5,4,0,3,0,2,2,440,3,4,2,132,64,0,0,0,0,0,3,8,3,-0.6962152910272419
120,3,69.0,4438,1,3,3,0,4,0,3,2,0,3,2,6,5,0,0,7,9,205.0,2,2,2,2,2,0,2,662,0,0,186,848,0,0,1,4,848,0,0,848,1,0,1,0,1,1,2,3,4,1,2,0,2,2,420,3,4,2,149,0,0,0,0,0,0,1,8,3,-0.5308443958762618
50,3,50.0,3500,1,3,3,0,4,0,15,2,0,0,0,5,7,0,0,0,0,0.0,3,2,1,3,2,3,3,312,0,0,408,720,0,3,1,4,720,564,0,1284,0,0,1,1,2,1,3,5,4,0,3,3,3,1,240,3,4,2,0,35,0,0,0,0,0,4,8,3,-1.2474516081971756
20,2,40.0,13673,1,0,3,0,1,0,17,4,0,0,2,5,5,0,0,3,3,0.0,3,1,1,3,2,3,5,0,0,0,1140,1140,0,3,1,4,1696,0,0,1696,0,0,1,1,3,1,3,8,3,1,5,0,2,1,349,3,4,2,0,30,0,0,0,0,0,3,8,3,-0.6245545697951506
20,2,75.0,8250,1,3,3,0,4,0,10,2,0,0,2,6,7,2,0,3,3,260.0,3,2,1,2,2,3,4,787,0,0,305,1092,0,0,1,4,1092,0,0,1092,1,0,1,0,3,1,3,6,4,0,3,0,2,2,504,3,1,2,0,0,0,0,0,0,0,7,8,3,-0.6043425714989197
20,2,83.0,10420,1,3,3,0,0,0,5,2,0,0,2,6,5,0,0,7,9,0.0,3,2,2,2,2,2,2,36,0,0,1176,1212,0,0,1,4,1212,0,0,1212,0,0,2,0,3,1,2,6,4,0,3,0,2,2,460,3,4,2,100,22,0,0,0,0,0,3,8,3,0.1490137286333231
60,0,72.0,8640,1,3,3,0,4,0,19,2,0,0,3,7,5,0,0,7,9,0.0,3,2,2,2,2,3,2,822,0,0,78,900,0,0,1,4,932,920,0,1852,1,0,2,1,3,1,2,7,4,1,5,0,2,2,644,3,4,2,168,108,0,0,0,0,0,7,6,4,1.3741915671752178
20,2,65.0,8450,1,3,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,266.0,2,2,2,2,2,2,2,946,0,0,490,1436,0,0,1,4,1436,0,0,1436,1,0,2,0,3,1,2,8,4,0,3,0,3,2,484,3,4,2,139,98,0,0,0,0,0,4,8,3,0.5900027823692701
120,2,43.0,3010,1,3,3,0,4,0,0,2,0,3,2,7,5,0,0,7,9,16.0,2,2,2,2,2,0,2,16,0,0,1232,1248,0,0,1,4,1248,0,0,1248,0,0,2,0,2,1,2,5,4,0,3,0,0,2,438,3,4,2,108,0,0,0,0,0,0,3,6,4,-0.1956927150369421
20,2,73.0,8990,1,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,0.0,2,2,2,2,2,2,5,0,0,0,1498,1498,0,0,1,4,1498,0,0,1498,0,0,2,0,2,1,2,5,4,0,3,0,2,2,675,3,4,2,351,33,0,0,0,0,0,4,6,4,0.49629260845038137
